what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097459153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097459355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354097460978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097469821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097491956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097493547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097498913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354097504264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354097505621
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354097510800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097520488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097541189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097543514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097860630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354097879781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097889989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097897411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097899372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354097905100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354097933455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354097937297
